TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,JORNADA_LABORAL_TIPO#es,JORNADA_LABORAL_TIPO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es
Haría,35010,Hombres,M,Tiempo completo,FT,2011 Segundo trimestre,2011-Q2,692,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2011 Segundo trimestre,2011-Q2,458,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2011 Tercer trimestre,2011-Q3,686,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2011 Tercer trimestre,2011-Q3,468,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2011 Cuarto trimestre,2011-Q4,667,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2011 Cuarto trimestre,2011-Q4,461,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2012 Primer trimestre,2012-Q1,657,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2012 Primer trimestre,2012-Q1,438,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2012 Segundo trimestre,2012-Q2,644,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2012 Segundo trimestre,2012-Q2,443,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2012 Tercer trimestre,2012-Q3,627,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2012 Tercer trimestre,2012-Q3,453,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2012 Cuarto trimestre,2012-Q4,626,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2012 Cuarto trimestre,2012-Q4,453,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2013 Primer trimestre,2013-Q1,611,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2013 Primer trimestre,2013-Q1,427,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2013 Segundo trimestre,2013-Q2,609,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2013 Segundo trimestre,2013-Q2,429,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2013 Tercer trimestre,2013-Q3,621,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2013 Tercer trimestre,2013-Q3,427,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2013 Cuarto trimestre,2013-Q4,620,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2013 Cuarto trimestre,2013-Q4,426,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2014 Primer trimestre,2014-Q1,617,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2014 Primer trimestre,2014-Q1,416,,,
